date,zone,WhatThreeWords_location,coordinates,percent_cover_aerial,percent_cover_crosssec,total_percent_sponge_cover,percent_cover_veg,percent_cover_barnacle,motile_species
2024-06-04T00:00:00Z,lower,laptop.glider.cyclones,"55.89444, -2.13089",0,5,5,5,60,yes
2024-06-04T00:00:00Z,lower,retrain.neatly.screeches,"55.89444, -2.13065",0,0,0,80,20,yes
2024-06-04T00:00:00Z,lower,couple.calms.thinnest,"55.89449, -2.13060",0,35,35,50,70,yes
2024-06-04T00:00:00Z,lower,ordinary.skewing.tropic,"55.89455, -2.13070",0,5,5,20,90,yes
2024-06-04T00:00:00Z,lower,riskiest.evolving.areas,"55.89444, -2.13070",0,40,40,20,60,yes
2024-06-04T00:00:00Z,lower,arranges.disco.forms,"55.89455, -2.13084",0,2,2,30,70,yes
2024-06-04T00:00:00Z,lower,mole.slipped.ecologist,"55.89449, -2.13084",0,0,0,0,10,yes
2024-06-04T00:00:00Z,lower,feasting.perky.sound,"55.89452, -2.13075",0,5,5,0,80,yes
2024-06-04T00:00:00Z,lower,attic.trunk.cuddled,"55.89444, -2.13079",1,1,2,50,20,yes
2024-06-04T00:00:00Z,lower,breathing.diary.track,"55.89449, -2.13070",2,2,4,30,70,yes
2024-06-04T00:00:00Z,lower,saved.lined.unpainted,"55.89455, -2.13079",0,4,4,0,20,yes
2024-06-04T00:00:00Z,lower,sprawls.rust.crumb,55.89452. -2.13089,0,0,0,0,40,yes
2024-06-04T00:00:00Z,middle,rocket.choppers.healers.,"55.89452, -2.13137",0,0,0,35,5,yes
2024-06-04T00:00:00Z,middle,rapid.surprises.forks.,"55.89447, -2.13127",0,0,0,60,15,yes
2024-06-04T00:00:00Z,middle,novels.consumed.rosier.,"55.89460, -2.13123",0,0,0,5,20,yes
2024-06-04T00:00:00Z,middle,bulb.engulfing.together.,"55.89458, -2.13127",0,0,0,40,30,yes
2024-06-04T00:00:00Z,middle,mouse.severe.liner.,"55.89463, -2.13118",0,0,0,30,30,yes
2024-06-04T00:00:00Z,middle,cobbles.dislodge.ozone,"55.89458, -2.13118",0,0,0,15,65,yes
2024-06-04T00:00:00Z,middle,bulb.engulfing.together.,"55.89458, -2.13127",0,0,0,10,55,yes
2024-06-04T00:00:00Z,middle,inner.resettle.glider,"55.89463, -2.13123",0,0,0,35,20,yes
2024-06-04T00:00:00Z,middle,professes.painting.vent,"55.89460, -2.13132",0,0,0,45,30,yes
2024-06-04T00:00:00Z,middle,products.risking.plod,"55.89458, -2.13113",0,0,0,10,5,yes
2024-06-04T00:00:00Z,middle,inflates.conclude.rejected.,"55.89460, -2.13118",0,0,0,45,10,yes
2024-06-04T00:00:00Z,middle,ranked.relies.handsets.,"55.89460, -2.13113",0,0,0,15,25,yes
2024-06-04T00:00:00Z,middle,manifests.jigging.spans.,"55.89460, -2.13108",0,5,5,0,15,yes
2024-06-05T00:00:00Z,upper,creatures.sensibly.clean,"55.89471, -2.13161",0,0,0,75,0,yes
2024-06-05T00:00:00Z,upper,notices.untruth.accent,"55.89466, -2.13147",0,0,0,90,0,yes
2024-06-05T00:00:00Z,upper,staining.voices.fattest,"55.89463, -2.13151",0,0,0,25,30,yes
2024-06-05T00:00:00Z,upper,incorrect.cheese.success,"55.89458, -2.13142",0,0,0,20,5,yes
2024-06-05T00:00:00Z,upper,broadens.lasted.iteration,"55.89458, -2.13156",0,0,0,10,5,yes
2024-06-05T00:00:00Z,upper,waltz.married.twitching,"55.89466, -2.13151",0,0,0,80,15,yes
2024-06-05T00:00:00Z,upper,tower.polishing.wriggled,"55.89474, -2.13161",0,0,0,25,0,yes
2024-06-05T00:00:00Z,upper,buzzards.classics.gripes,"55.89471, -2.13142",0,0,0,65,0,yes
2024-06-05T00:00:00Z,upper,stag.poker.invest,"55.89468, -2.13132",0,0,0,15,20,yes
2024-06-05T00:00:00Z,upper,unfocused.musem.referral,"55.89466, -2.13123",0,2,2,10,0,yes
2024-06-06T00:00:00Z,lower,tokens.meanings.workbook,"55.89458, -2.13036",8,25,33,80,10,yes
2024-06-06T00:00:00Z,lower,pinch.gold.butchers,"55.89460, -2.13031",0,3,3,60,40,yes
2024-06-06T00:00:00Z,lower,pokes.notifying.sketching,"55.89455, -2.13036",15,40,55,70,10,yes
2024-06-06T00:00:00Z,lower,decks.slimming.nipped,"55.89452, -2.13036",2,30,32,80,20,yes
2024-06-06T00:00:00Z,lower,hillside.safest.punctual,"55.89452, -2.13046",2,50,52,10,75,yes
2024-06-06T00:00:00Z,lower,often.inflates.shred,"55.89463, -2.13031",5,5,10,10,90,yes
2024-06-06T00:00:00Z,lower,shepherds.shells.knees,"55.89460, -2.13036",2,2,4,50,5,yes
2024-06-06T00:00:00Z,lower,coverage.iteration.fuels,"55.89466, -2.13050",5,10,15,20,35,yes
2024-06-06T00:00:00Z,lower,toasters.earplugs.branching,"55.89468, -2.13055",0,0,0,0,95,yes
2024-06-06T00:00:00Z,lower,swordfish.lifeboats.powering,"55.89452, -2.13041",0,0,0,15,85,yes
2024-06-06T00:00:00Z,lower,flesh.torso.cheater,"55.89471, -2.13078",0,0,0,15,50,yes
2024-06-06T00:00:00Z,lower,duplicate.rocker.swipes,"55.89471, -2.13060",0,0,0,30,80,yes
2024-06-06T00:00:00Z,lower,tracking.ignore.outwit,"55.89471, -2.13075",0,0,0,5,80,yes
2024-06-06T00:00:00Z,lower,tutorial.crabmeat.duty,"55.89460, -2.13075",0,0,0,10,75,yes
2024-06-06T00:00:00Z,lower,overlooks.nation.shunning,"55.89458, -2.13060",0,0,0,5,30,yes
2024-06-05T00:00:00Z,middle,momentus.quit.lunching,"55.89479, -2.13089",0,0,0,10,5,yes
2024-06-05T00:00:00Z,middle,covers.unleashed.corrosive,"55.89474, -2.13099",0,0,0,35,0,yes
2024-06-05T00:00:00Z,middle,aboard.overlooks.length,"55.89466, -2.13094",0,0,0,1,15,yes
2024-06-05T00:00:00Z,middle,pothole.wealth.outbid,"55.89466, -2.13103",0,0,0,40,0,yes
2024-06-05T00:00:00Z,middle,radiates.expert.efficient,"55.89471, -2.13099",0,0,0,25,0,yes
2024-06-05T00:00:00Z,middle,shoelaces.planet.orbit,"55.89479, -2.13094",0,0,0,10,0,yes
2024-06-05T00:00:00Z,middle,partol.districts.muddle,"55.89474, -2.13084",0,0,0,2,0,yes
2024-06-05T00:00:00Z,middle,backpacks.cheer.luring,"55.89463, -2.13094",0,0,0,30,5,yes
2024-06-05T00:00:00Z,middle,lofts.grow.cornfield,"55.89471, -2.13103",0,0,0,0,0,no
2024-06-05T00:00:00Z,middle,pins.topmost.shortens,"55.89479, -2.13099",0,0,0,100,0,yes
2024-06-05T00:00:00Z,middle,dries.searcher.baking,"55.89482, -2.13075",0,2,2,20,10,yes
2024-06-05T00:00:00Z,middle,javelin.pouch.september,"55.89476, -2.13079",0,0,0,5,0,yes
2024-06-05T00:00:00Z,middle,call.seat.lushly,"55.89468, -2.13084",0,0,0,30,5,yes
2024-06-05T00:00:00Z,middle,drew.summit.harmonica,"55.89485, -2.13075",0,0,0,15,20,yes
2024-06-05T00:00:00Z,middle,shuffles.country.lateral,"55.89479, -2.13075",8,10,18,0,70,yes
2024-06-05T00:00:00Z,upper,broker.acting.driveways.,"55.89485, -2.13094",0,0,0,10,0,yes
2024-06-05T00:00:00Z,upper,ballpoint.profile.basics,"55.89487, -2.13113",0,0,0,65,0,yes
2024-06-05T00:00:00Z,upper,dusts.mystified.expires,"55.89479, -2.13113",0,0,0,30,0,yes
2024-06-05T00:00:00Z,upper,tweed.freshest.bucked,"55.89474, -2.13118",0,0,0,30,0,yes
2024-06-05T00:00:00Z,upper,options.signature.cars,"55.89476, -2.13132",0,0,0,50,0,no
2024-06-05T00:00:00Z,upper,absorbing.overpaid.meal,"55.89485, -2.13123",0,0,0,45,0,yes
2024-06-05T00:00:00Z,upper,readjust.home.founders,"55.89495, -2.13103",0,0,0,30,0,yes
2024-06-05T00:00:00Z,upper,syndicate.parading.dimes,"55.89487, -2.13108",0,0,0,45,0,yes
2024-06-05T00:00:00Z,upper,newstand.artichoke.resources,"55.89495, -2.13108",0,0,0,45,0,yes
2024-06-05T00:00:00Z,upper,inserting.toned.minimums,"55.89490, -2.13094",0,0,0,15,0,yes
2024-06-18T00:00:00Z,lower,accordion.breath.poet,"55.89474, -2.13036",0,0,0,60,0,yes
2024-06-18T00:00:00Z,lower,mercy.flanks.tadpole,"55.89474, -2.13041",5,0,5,5,10,yes
2024-06-18T00:00:00Z,lower,crass.boils.rider,"55.89476, -2.13041",5,10,15,15,20,yes
2024-06-18T00:00:00Z,lower,laughs.coarser.wobbles,"55.89476, -2.13046",0,0,0,5,5,yes
2024-06-18T00:00:00Z,lower,types.conspired.breakaway,"55.89482, -2.13036",10,0,10,10,20,yes
2024-06-18T00:00:00Z,lower,icebergs.blanked.profited,"55.89482, -2.14050",0,0,0,0,5,yes
2024-06-18T00:00:00Z,lower,wiggly.scans.staining,"55.89485, -2.13046",0,0,0,0,70,yes
2024-06-18T00:00:00Z,lower,vague.pampering.uses,"55.89479, -2.13050",20,0,20,5,10,yes
2024-06-18T00:00:00Z,lower,strictest.lamenting.touchy,"55.89469, -2.13041",5,20,25,15,35,yes
2024-06-18T00:00:00Z,lower,bubbles.twitching.laptop,"55.89474, -2.13046",0,10,10,20,5,yes
2024-06-18T00:00:00Z,lower,pound.hats.agreeable,"55.89476, -2.13031",10,0,10,5,90,yes
2024-06-18T00:00:00Z,middle,slugs.pelted.paces.,"55.89485, -2.13060",0,0,0,0,5,yes
2024-06-18T00:00:00Z,middle,expectant.eruptions.forgives,"55.89482, -2.13065",10,0,10,15,10,yes
2024-06-18T00:00:00Z,middle,dries.searcher.baking,"55.89482, -2.13075",0,0,0,0,5,yes
2024-06-18T00:00:00Z,middle,decorate.builder.absorb,"55.89485, -2.13065",0,0,0,50,10,yes
2024-06-18T00:00:00Z,middle,deliver.ounce.legend,"55.89487, -2.13065",5,0,5,30,55,yes
2024-06-18T00:00:00Z,middle,obtain.champions.blurts,"55.89487, -2.13060",5,0,5,15,70,yes
2024-06-18T00:00:00Z,middle,searching.cubed.trinkets,"55.89479, -2.13060",0,0,0,5,10,yes
2024-06-18T00:00:00Z,middle,property.succumbs.lows,"55.89485, -2.13070",0,0,0,15,60,yes
2024-06-18T00:00:00Z,middle,fidgeted.tiny.young,"55.89490, -2.13070",0,0,0,50,30,yes
2024-06-18T00:00:00Z,middle,spoiler.rebounded.assist,"55.89493, -2.13060",0,0,0,65,0,yes
2024-06-18T00:00:00Z,upper,decisions.concerned.covertly,"55.89490, -2.13079",0,0,0,20,5,yes
2024-06-18T00:00:00Z,upper,outlined.respected.unlucky,"55.89495, -2.13070",0,0,0,0,5,yes
2024-06-18T00:00:00Z,upper,absent.driveways.sunroof,"55.89495, -2.13079",0,0,0,70,0,yes
2024-06-18T00:00:00Z,upper,admits.lifted.flattery,"55.89490, -2.13089",0,0,0,5,15,yes
2024-06-18T00:00:00Z,upper,affair.musician.screaming,"55.89487, -2.13084",0,0,0,10,30,yes
2024-06-18T00:00:00Z,upper,partly.explored.suiting,"55.89495, -2.13089",0,0,0,5,5,yes
2024-06-18T00:00:00Z,upper,complies.damage.euphoric,"55.89501, -2.13084",0,0,0,20,0,yes
2024-06-18T00:00:00Z,upper,tweezers.caressing.took,"55.89498, -2.13103",0,0,0,20,0,no
2024-06-18T00:00:00Z,upper,bordering.retain.call,"55.89506, -2.13089",0,0,0,90,0,no
2024-06-18T00:00:00Z,upper,laugh.kilowatt.remodels,"55.89501, -2.13075",0,0,0,15,0,yes
